tld	count
toys	9035
gratis	8932
schule	8902
builders	8670
lighting	8661
moda	8580
doctor	8533
mm	8513
sx	8503
dating	8463
audio	8456
gy	8377
quest	8366
sr	8340
sex	8323
xn--80asehdb	8320
vlaanderen	8297
florist	8290
ruhr	8269
ngo	8190
mba	8148
nagoya	8131
vote	8118
bs	8043
recipes	7961
reisen	7935
bj	7918
gm	7898
kaufen	7857
college	7789
investments	7736
bh	7700
xn--io0a7i	7681
shoes	7679
auction	7677
jcp	7591
credit	7578
bi	7564
xn--czru2d	7561
insure	7554
jm	7546
okinawa	7507
tube	7491
cpa	7458
gi	7381
attorney	7353
apartments	7338
equipment	7290
tg	7234
barcelona	7205
garden	7143
dj	7116
mo	7084
yokohama	7072
tattoo	7046
loans	7041
engineer	7026
et	6998
sb	6821
fans	6789
racing	6601
vi	6585
cfd	6546
fan	6543
forsale	6506
jewelry	6409
bond	6384
saarland	6341
holiday	6329
durban	6308
cheap	6285
gent	6258
glass	6229
salon	6168
associates	6126
study	6093
army	6080
xn--3ds443g	6046
sbs	5994
cab	5987
webcam	5951
ki	5864
cleaning	5799
pr	5791
dentist	5781
discount	5688
shiksha	5670
baby	5650
catering	5627
adult	5582
mortgage	5546
dvag	5513
movie	5510
archi	5493
condos	5473
poker	5432
camera	5412
how	5389
mw	5378
xn--90ae	5366
contractors	5343
mom	5222
tienda	5211
xn--6qq986b3xl	5176
irish	5058
furniture	5020
sl	5013
horse	4940
exposed	4938
courses	4891
xn--tckwe	4825
supplies	4821
vacations	4789
singles	4737
sy	4679
lgbt	4667
sz	4488
plumbing	4476
property	4443
inc	4442
ck	4375
claims	4307
soccer	4246
xn--qxam	4225
xn--j6w193g	4137
boston	4136
voyage	4120
mh	4112
bible	4099
cooking	4087
bnpparibas	4072
beauty	4029
mr	4019
alsace	3871
bf	3821
coupons	3808
radio	3776
ong	3704
fk	3689
audi	3648
game	3594
actor	3491
corsica	3441
madrid	3395
limo	3361
xn--mk1bu44c	3279
diamonds	3196
xn--3e0b707e	3192
cg	3156
futbol	3117
charity	3017
soy	2993
rehab	2984
luxe	2982
bb	2871
krd	2866
fishing	2855
villas	2852
trading	2837
flights	2826
xn--90a3ac	2816
taipei	2755
hm	2686
surgery	2661
dm	2622
lease	2586
xn--kput3i	2580
gives	2576
tennis	2527
gdn	2506
cruises	2477
organic	2440
cricket	2438
degree	2431
hospital	2430
bargains	2420
accountants	2414
theater	2385
bingo	2377
xn--80aswg	2360
vodka	2335
bot	2273
luxury	2245
observer	2195
physio	2154
sarl	2147
accountant	2142
gop	2111
christmas	2095
hair	2085
ne	2085
diet	2019
hockey	1996
versicherung	1976
rodeo	1892
xn--9dbq2a	1877
skin	1876
museum	1845
bmw	1843
markets	1834
desi	1743
rio	1736
maison	1719
country	1699
kyoto	1672
mma	1650
sport	1632
xn--vuq861b	1613
flowers	1608
new	1604
navy	1580
seat	1568
broker	1564
viajes	1559
gw	1485
xn--c1avg	1451
makeup	1412
ltda	1404
autos	1346
neustar	1342
allfinanz	1326
xn--y9a3aq	1325
xn--e1a4c	1318
tatar	1283
sap	1264
xn--fiqz9s	1256
airforce	1250
reise	1246
republican	1243
career	1240
democrat	1231
td	1221
creditcard	1210
mq	1199
xn--hxt814e	1155
leclerc	1138
tires	1110
osaka	1095
gf	1089
xn--kpry57d	1056
lr	1052
boats	1041
kn	1027
xn--1qqw23a	997
xn--mgberp4a5d4ar	995
xn--6frz82g	985
va	978
abbott	962
pharmacy	957
xn--d1acj3b	947
basketball	945
memorial	939
feedback	933
aws	908
whoswho	905
blackfriday	905
guitars	868
gn	864
hiphop	862
ryukyu	842
xn--o3cw4h	835
crs	828
auto	819
xn--ngbc5azd	811
rugby	803
abogado	786
gripe	785
insurance	782
xn--t60b56a	778
xn--54b7fta0cc	768
xn--mgbaam7a8h	757
xn--q9jyb4c	748
forex	739
xn--h2brj9c	737
pn	729
tickets	707
abudhabi	689
yachts	671
xn--fiq228c5hs	661
motorcycles	632
xn--vhquv	625
security	610
xn--node	593
voto	586
juegos	573
car	563
schwarz	559
creditunion	502
weir	468
abb	464
godaddy	451
xn--rhqv96g	447
xn--5tzm5g	430
storage	427
lamborghini	413
gmx	400
aco	399
km	394
xn--czrs0t	392
ss	392
compare	377
xn--nqv7f	377
aq	373
cars	365
canon	343
hiv	335
xn--3bst00m	317
total	316
xn--mgbab2bd	312
cisco	310
post	302
weber	301
broadway	300
mini	294
xn--g2xx48c	293
moi	285
qpon	272
ntt	263
xn--kprw13d	251
man	244
sky	242
globo	224
forum	223
apple	221
mattel	213
xn--80ao21a	210
xn--d1alf	203
select	202
sncf	199
voting	197
edeka	187
barclays	184
xn--ogbpf8fl	179
xn--mgbayh7gpa	178
citic	177
fox	177
bradesco	172
kp	171
rich	170
xn--wgbh1c	168
dhl	166
stockholm	159
gu	154
jnj	153
xn--pgbs0dh	149
stada	142
xn--mgba3a4f16a	137
schaeffler	136
google	135
shell	134
pictet	133
lundbeck	131
er	131
erni	127
komatsu	125
afl	124
saxo	123
politie	123
schmidt	122
sbi	116
theatre	114
xn--wgbl6a	113
xn--4gbrim	112
yandex	110
lidl	108
fage	108
deloitte	108
trust	107
ifm	106
lipsy	104
toray	103
linde	103
xn--qxa6a	103
firmdale	102
cern	101
sandvik	99
meet	98
sharp	97
xn--l1acc	97
reit	96
kpn	96
pru	95
cba	95
discover	93
dealer	91
teva	91
sener	88
next	86
prudential	86
xn--fjq720a	85
xn--unup4y	84
bloomberg	83
axa	82
xn--i1b6b1a6a2e	78
auspost	78
statefarm	77
protection	77
xn--xhq521b	76
ikano	75
monash	75
ricoh	75
lotto	74
kpmg	73
bostik	71
xn--cck2b3b	70
xn--ygbi2ammx	69
aquarelle	68
woodside	68
hisamitsu	66
microsoft	66
xn--otu796d	64
mango	64
xn--xkc2dl3a5ee0h	64
uol	61
nico	59
xn--zfr164b	58
bentley	57
sanofi	56
mlb	56
arte	56
ismaili	56
xn--3hcrj9c	55
scb	55
philips	53
xn--fpcrj9c3d	52
xn--1ck2e1b	52
fresenius	49
smart	49
anz	48
praxi	48
xn--2scrj9c	48
gucci	47
locus	45
jprs	45
xn--fiq64b	45
foo	44
kfh	43
xn--fzc2c9e2c	43
xn--55qw42g	43
aig	42
xn--s9brj9c	42
jio	42
abc	41
ipiranga	41
bauhaus	40
xn--jvr189m	40
hoteles	40
xn--mgbbh1a71e	39
xn--xkc2al3hye2a	39
lanxess	39
dell	39
statebank	38
bbva	38
walter	38
gle	37
xn--gckr3f0f	37
mitsubishi	36
tatamotors	35
latrobe	35
tui	35
frogans	35
barclaycard	35
sakura	34
orange	34
xn--bck1b9a5dre4c	34
xbox	34
redstone	34
hsbc	34
vanguard	34
skype	34
hitachi	33
allstate	33
wed	33
xn--fct429k	32
xn--yfro4i67o	32
dubai	32
zuerich	31
williamhill	31
youtube	31
bridgestone	31
azure	30
xn--45brj9c	30
bharti	30
cancerresearch	29
pfizer	29
vig	29
ads	29
med	29
xn--rovu88b	28
cbs	28
sony	28
toyota	28
hyatt	28
windows	27
ses	26
sew	26
abbvie	26
mov	26
dabur	26
arab	26
jcb	26
watches	25
jpmorgan	25
wanggou	25
gea	25
ieee	25
itau	25
hermes	24
sfr	24
mtn	24
prod	24
itv	24
hdfc	23
prime	23
clubmed	23
safe	23
budapest	23
cuisinella	23
stc	23
aaa	23
office	22
tvs	22
pramerica	22
spot	22
citi	22
suzuki	22
rexroth	22
kinder	22
hotels	22
hotmail	22
yun	22
fast	22
nike	22
vivo	22
tushu	22
jll	22
mit	21
fire	21
comcast	21
maif	21
gmail	21
circle	21
xn--ngbe9e0a	21
lplfinancial	21
landrover	21
bing	20
xn--mgbah1a3hjkrd	20
pioneer	20
tiffany	20
nra	20
jmp	20
chintai	20
nab	20
pin	20
hyundai	20
seek	20
amex	20
mobile	20
xn--kcrx77d1x4a	20
grainger	20
viva	20
kindle	19
ibm	19
gmo	19
amazon	19
free	19
secure	19
passagens	19
ferrero	19
wtc	19
analytics	19
goo	19
aetna	19
yamaxun	19
here	18
chase	18
brother	18
lilly	18
bbc	18
ice	18
bugatti	18
dish	18
hkt	18
caseih	18
able	18
zero	18
helsinki	18
lancaster	18
temasek	18
sandvikcoromant	18
lincoln	18
cfa	18
weatherchannel	17
vuelos	17
now	17
goodyear	17
loft	17
xihuan	17
baseball	17
zara	17
nowtv	17
intuit	17
imamat	17
emerck	17
softbank	17
spreadbetting	17
dad	17
shia	17
llp	17
northwesternmutual	17
xn--mgbpl2fh	17
xfinity	17
xn--imr513n	17
coupon	17
citadel	17
alipay	17
rmit	17
airbus	16
cruise	16
calvinklein	16
mckinsey	16
cbre	16
dds	16
hbo	16
farmers	16
swiftcover	16
extraspace	16
deal	16
nfl	16
hughes	16
xn--mgb9awbf	16
reliance	16
winners	16
like	16
gap	16
aramco	16
sapo	16
call	16
flickr	15
frontier	15
book	15
read	15
cal	15
save	15
xn--mxtq1m	15
moto	15
sohu	15
flir	15
xn--mgbca7dzdo	15
dot	15
crown	15
catholic	15
bv	15
athleta	15
toshiba	15
wme	15
otsuka	15
java	15
dupont	14
hangout	14
alfaromeo	14
sling	14
cipriani	14
rwe	14
imdb	14
boehringer	14
trv	14
lpl	14
weather	14
nec	14
travelersinsurance	14
zappos	14
bestbuy	14
author	14
swatch	14
nokia	14
buy	14
virgin	14
phone	14
amica	14
tunes	14
silk	14
homedepot	14
msd	13
firestone	13
xn--mix891f	13
talk	13
joy	13
adac	13
sina	13
lixil	13
esq	13
mtr	13
pars	13
iveco	13
pay	13
xn--mgbcpq6gpa1a	13
taobao	13
case	13
origins	13
data	13
fairwinds	13
stcgroup	13
olayangroup	13
prof	13
beats	12
chrome	12
fedex	12
intel	12
samsung	12
lds	12
day	12
xn--lgbbat1ad8j	12
thd	12
anquan	12
ford	12
aeg	12
marshalls	12
seven	12
got	12
room	12
redumbrella	12
wow	12
lasalle	12
pnc	12
bananarepublic	12
smile	12
showtime	12
hot	12
nissan	12
airtel	12
americanexpress	12
sas	12
ping	12
netflix	12
honda	12
travelchannel	12
you	12
staples	12
pohl	12
tjx	11
ferrari	11
pid	11
ing	11
mutual	11
akdn	11
off	11
dtv	11
dclk	11
audible	11
xn--eckvdtc9d	11
box	11
natura	11
jot	11
alstom	11
xn--mgbc0a9azcg	11
mls	11
homegoods	11
docs	11
open	11
meme	11
ril	11
ftr	11
bcn	11
xerox	11
delta	11
xn--nyqy26a	11
yodobashi	11
rocher	11
glade	10
xn--ngbrx	10
walmart	10
avianca	10
genting	10
lifeinsurance	10
safety	10
song	10
pwc	10
cbn	10
olayan	10
shaw	10
aarp	10
fujitsu	10
xn--mgbtx2b	10
scholarships	10
hdfcbank	10
xn--mgba3a3ejt	10
playstation	10
caravan	10
xn--45q11c	10
jeep	10
xn--jlq480n2rg	10
nextdirect	10
lefrak	10
ubs	10
gallup	10
travelers	9
lifestyle	9
comsec	9
bom	9
nba	9
barefoot	9
bcg	9
xn--cckwcxetd	9
locker	9
guardian	9
ericsson	9
ally	9
csc	9
kosher	9
booking	9
oldnavy	9
commbank	9
aol	9
oracle	9
sca	9
android	9
tab	9
nowruz	9
homesense	9
lacaixa	8
target	8
tdk	8
cityeats	8
rogers	8
tiaa	8
americanfamily	8
latino	8
xn--gk3at1e	8
ollo	8
qvc	8
marriott	8
ott	8
xn--mgbaakc7dvf	8
banamex	8
fujixerox	8
scjohnson	8
fido	8
mint	8
ubank	8
ups	8
tkmaxx	8
omega	7
drive	7
richardli	7
visa	7
dvr	7
clinique	7
map	7
amfam	7
datsun	7
lancia	7
dunlop	7
xn--mgba7c0bbn0a	7
tmall	7
lamer	7
mormon	7
newholland	7
netbank	7
grocery	7
volkswagen	7
xn--nqv7fs00ema	7
cookingchannel	7
tjmaxx	7
etisalat	7
diy	7
zip	7
dnp	7
blockbuster	6
xn--80aqecdr1a	6
agakhan	6
obi	6
fiat	6
pccw	6
viking	6
alibaba	6
phd	6
final	6
lotte	6
icbc	6
xn--9krt00a	6
play	6
giving	6
wolterskluwer	6
kerryhotels	6
food	6
xn--fzys8d69uvgm	6
xn--rvc1e0am3e	6
kerryproperties	6
xn--jlq61u9w7b	6
abarth	6
jaguar	6
boo	5
living	5
weibo	5
lexus	5
kuokgroup	5
infiniti	5
kia	5
bbt	5
fly	5
progressive	5
channel	5
chanel	5
xn--mgbi4ecexp	5
frontdoor	5
xn--tiq49xqyj	5
nationwide	5
baidu	5
xn--mgbai9azgqp6j	5
gallo	5
xn--3oq18vl8pn36a	5
volvo	5
shouji	5
xn--b4w605ferd	5
epson	5
star	5
nikon	5
maserati	5
capitalone	4
lego	4
raid	4
macys	4
george	4
hgtv	4
xn--30rr7y	4
xn--42c2d9a	4
nissay	4
bosch	4
onyourside	4
unicom	4
duck	4
foodnetwork	4
vana	4
kerrylogistics	4
afamilycompany	4
verisign	4
merckmsd	4
search	4
tci	4
kddi	4
xn--cg4bki	3
samsclub	3
bofa	3
an	3
xn--flw351e	3
bms	3
accenture	3
eat	3
xn--mgbt3dhd	3
gb	3
juniper	3
xn--9et52u	3
ggee	3
norton	3
guge	3
rsvp	3
gbiz	2
xn--5su34j936bgsg	2
goldpoint	2
shangrila	2
nexus	2
symantec	2
fidelity	2
xn--j1aef	2
xn--11b4c3d	2
nhk	2
eurovision	2
xn--8y0a063a	2
esurance	2
panasonic	2
rightathome	2
xn--w4r85el8fhu5dnra	2
xn--w4rs40l	2
nadex	2
xn--efvy88h	2
asda	2
xn--qcka1pmc	2
xn--h2brj9c8c	2
active	2
yahoo	2
blanco	2
sj	1
xn--vermgensberater-ctb	1
xn--pbt977c	1
xn--pssy2u	1
xn--fhbei	1
xn--kpu716f	1
vistaprint	1
xn--3pxu8k	1
xn--c2br7g	1
honeywell	1
scor	1
xn--vermgensberatung-pwb	1
spiegel	1
