URL,label
http://www.cs.cornell.edu/Info/People/brd/brd.html,faculty
http://www.cs.cornell.edu/Info/Faculty/rc/rc.html,faculty
http://www.cs.cornell.edu/Info/People/jgm/home.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Pingali.html,faculty
http://www.cs.cornell.edu/Info/Faculty/Brian_Smith.html,faculty
http://www.cs.cornell.edu/Info/People/kleinber/kleinber.html,faculty
http://www.cs.cornell.edu/Info/People/halpern/,faculty
http://www.cs.cornell.edu/Info/People/coleman/coleman.html,faculty
http://www.cs.cornell.edu/Info/People/kozen/kozen.html,faculty
http://www.cs.cornell.edu/Info/People/vavasis/vavasis.html,faculty
http://www.cs.cornell.edu/Info/People/eva/eva.html,faculty
http://www.cs.cornell.edu/Info/People/mhr/mhr.html,faculty
http://www.cs.cornell.edu/Info/People/lnt/lnt.html,faculty
http://www.cs.cornell.edu/Info/People/samuel/,faculty
http://www.cs.cornell.edu/Info/People/sam/sam.html,faculty
http://www.cs.cornell.edu/Info/People/gries/gries.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Greenberg.html,faculty
http://www.cs.cornell.edu/Info/People/praveen/praveen.html,faculty
http://www.cs.cornell.edu/Info/People/dph/dph.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual94/Faculty/Salton.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Birman.html,faculty
http://www.cs.cornell.edu/Info/People/tt/Tim_Teitelbaum.html,faculty
http://www.cs.cornell.edu/Info/People/dean/dean.html,faculty
http://www.cs.cornell.edu/Info/People/tah/tah.html,faculty
http://www.cs.cornell.edu/Info/People/skeshav/,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Hopcroft.html,faculty
http://www.cs.cornell.edu/Info/People/rdz/rdz.html,faculty
http://www.cs.cornell.edu/Info/People/tve/tve.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/VanLoan.html,faculty
http://www.cs.cornell.edu/Info/People/ronitt/homepage.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Hartmanis.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Schneider.html,faculty
http://www.cs.cornell.edu/Info/People/cardie/cardie.html,faculty
http://www.cs.cornell.edu/Info/Department/Annual95/Faculty/Wagner.html,faculty
http://www.csc.ncsu.edu/faculty/PIyer/,faculty
http://www.cs.arizona.edu/people/rts/,faculty
http://www.cs.uoregon.edu/CIS/faculty_staff/ritter.html,faculty
http://www.cs.usask.ca/faculty/bunt/,faculty
http://www.cs.rochester.edu/u/wei/,faculty
http://vip.cs.utsa.edu/personnel/srobbins.html,faculty
http://www.cs.ualberta.ca/~tony/,faculty
http://www.cs.engr.uky.edu/~cheng/,faculty
http://www.eecs.umich.edu/~tnm/,faculty
http://web.cps.msu.edu/fac/fac/lee.html,faculty
http://www.cs.uidaho.edu/faculty/krings.html,faculty
http://www.cs.rice.edu/~willy/,faculty
http://www.cs.hmc.edu/~hadas/,faculty
http://www.isi.edu/software-sciences/wile/home-page.html,faculty
http://www.cs.columbia.edu/info/research-guide/html/node11.html,faculty
http://web.cps.msu.edu/fac/fac/hughes.html,faculty
http://www.cs.ualberta.ca/~jeffp/,faculty
http://www.vuse.vanderbilt.edu/~spin/persinfo.html,faculty
http://www.cs.ndsu.NoDak.edu/~kmagel/index.html,faculty
http://phoenix.csc.calpoly.edu/~jshetler/index.html,faculty
http://cis.csuohio.edu/~munakata/,faculty
http://www.cs.pitt.edu/~kirk/,faculty
http://HTTP.CS.Berkeley.EDU/~sinclair/,faculty
http://www.cs.uml.edu/~grinstei/,faculty
http://www.cs.berkeley.edu/People/Faculty/Homepages/clancy.html,faculty
http://www.cs.buffalo.edu/pub/WWW/faculty/xinhe/,faculty
http://www.scs.carleton.ca/scs/faculty/corriveau.html,faculty
http://www.cs.uiowa.edu/~bonacina/,faculty
http://www.cs.umass.edu/~thtml/people/fac/barrington.html,faculty
http://web.cps.msu.edu/~weng/,faculty
http://www.cs.missouri.edu/deptinfo_docs/saab.html,faculty
http://www.isi.edu/soar/gratch/home.html,faculty
http://www.cs.vassar.edu/~ide/,faculty
http://www.cs.usask.ca/homepages/faculty/grassman/,faculty
http://clarinet.dcs.uky.edu:80/~seales/,faculty
http://www.cs.usask.ca/homepages/faculty/eric/,faculty
http://cs.nyu.edu/cs/faculty/davise/index.html,faculty
http://www.umcs.maine.edu/~markov/markowsky.html,faculty
http://www.cs.umd.edu/~gasarch/,faculty
http://www.cis.ufl.edu/~ddd/,faculty
http://www.cs.rutgers.edu/~gerasoul/index.html,faculty
http://cswww.vuse.vanderbilt.edu/~pcf/index.html,faculty
http://www.cs.uiuc.edu/CS_INFO_SERVER/DEPT_INFO/CS_FACULTY/FAC_HTMLS/mickunas.html,faculty
http://caligari.dartmouth.edu/thayer/faculty/beckmann/beckmann.html,faculty
http://www.cs.ucdavis.edu/Faculty/Pandey.html,faculty
http://www.scs.carleton.ca/scs/faculty/krizanc.html,faculty
http://turing.cis.ibaraki.ac.jp,faculty
http://ai.eecs.umich.edu/people/kdkd/home.html,faculty
http://www.cs.umd.edu/~mount/,faculty
http://www.cis.ksu.edu/~bhoward/home.html,faculty
http://www.cs.ucsb.edu/~bruno/,faculty
http://www.cs.umn.edu/faculty/norberg.html,faculty
http://www.eecs.umich.edu/systems/khargonekar.html,faculty
http://www.ccs.neu.edu/home/gene/,faculty
